Prompt: golden fish swimming in the ocean. aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,1.656,3.031,-2.031,3
,5,0.230,1.000,0.000,3
,8,0.149,1.000,0.000,3
,11,0.149,1.211,-0.299,3
,14,0.108,0.973,-0.091,4
,18,0.120,1.188,-0.508,3
,21,0.074,0.781,-0.144,6
,27,0.066,0.664,-0.065,8
,29,0.030,0.617,-0.093,12
,30,0.016,0.512,-0.057,12
Prompt: mountain aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,3.141,6.469,5.469,3
,5,0.210,1.000,0.000,3
,8,0.177,1.000,0.000,3
,11,0.336,1.875,0.676,3
,14,0.201,1.539,0.260,3
,17,0.138,1.281,0.000,3
,20,0.132,1.281,0.000,3
,23,0.153,1.461,-0.260,3
,26,0.187,1.531,-0.469,3
,29,0.277,1.672,-0.875,3
,30,0.112,0.918,-0.169,3
Prompt: castle aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,2.484,3.500,2.500,3
,5,0.262,1.000,0.000,3
,8,0.130,1.000,0.000,3
,11,0.163,1.273,0.208,3
,14,0.231,1.672,0.469,3
,17,0.111,1.367,-0.234,3
,20,0.109,1.297,-0.234,4
,24,0.098,1.156,-0.156,4
,28,0.145,1.297,-0.498,3
,29,0.070,0.918,-0.169,6
,30,0.041,0.781,-0.078,10
Prompt: castle aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,2.141,3.969,2.969,3
,5,0.279,1.000,0.000,3
,8,0.165,1.000,0.000,3
,11,0.228,1.750,-1.070,3
,14,0.148,1.203,0.404,3
,17,0.188,1.531,0.559,3
,20,0.112,0.969,0.000,3
,23,0.121,1.109,-0.195,3
,26,0.122,1.039,-0.183,3
,29,0.218,1.367,-0.730,3
,30,0.085,0.727,-0.130,6
Prompt: football field aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,4.312,5.031,4.031,3
,5,0.237,1.000,0.000,3
,8,0.165,1.000,0.000,3
,11,0.291,2.219,0.938,3
,14,0.182,1.281,0.000,3
,17,0.187,1.625,-0.494,3
,20,0.141,1.445,-0.443,3
,23,0.100,1.070,-0.104,4
,27,0.121,1.141,-0.283,3
,29,0.128,1.039,-0.260,3
,30,0.126,1.117,0.260,3
Prompt: football field aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,1.383,2.438,1.445,3
,5,0.330,1.000,0.000,3
,8,0.130,1.000,0.000,3
,11,0.181,1.875,0.676,3
,14,0.107,1.203,0.000,4
,18,0.122,1.477,0.195,3
,21,0.211,2.359,0.832,3
,24,0.185,1.938,0.312,3
,27,0.189,1.625,0.000,3
,29,0.309,2.500,0.676,3
,30,0.242,2.297,0.365,3
Prompt: a yellow suitcase aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,6.156,10.375,-9.375,3
,5,0.346,1.000,0.000,3
,8,0.204,1.000,0.000,3
,11,0.281,2.109,-1.586,3
,14,0.093,0.758,-0.332,4
,18,0.043,0.527,-0.171,10
,28,0.025,0.355,-0.211,12
,29,0.003,0.143,-0.009,12
,30,0.004,0.128,-0.028,12
Prompt: a yellow suitcase aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,6.438,10.000,9.000,3
,5,0.357,1.000,0.000,3
,8,0.188,1.000,0.000,3
,11,0.240,2.156,-1.656,3
,14,0.068,0.742,0.183,8
,22,0.036,0.586,-0.129,10
,29,0.030,0.455,-0.146,12
,30,0.010,0.352,0.020,12
Prompt: a blue suitcase aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,4.594,7.688,6.688,3
,5,0.246,1.000,0.000,3
,8,0.163,1.000,0.000,3
,11,0.228,1.875,0.676,3
,14,0.123,1.203,0.000,3
,17,0.124,1.367,-0.234,3
,20,0.114,1.297,-0.234,3
,23,0.100,1.062,0.000,4
,27,0.117,1.062,0.000,3
,29,0.170,1.367,0.234,3
,30,0.189,1.773,0.494,3
Prompt: a blue suitcase aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,2.594,3.812,-2.812,3
,5,0.287,1.000,0.000,3
,8,0.163,1.000,0.000,3
,11,0.289,2.219,0.938,3
,14,0.195,1.461,-0.260,3
,17,0.111,1.203,0.000,3
,20,0.112,1.203,0.000,3
,23,0.126,1.367,-0.234,3
,26,0.119,1.133,0.000,3
,29,0.268,1.773,0.494,3
,30,0.211,1.992,0.547,3
Prompt: a blue car aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,5.156,5.438,-4.438,3
,5,0.252,1.000,0.000,3
,8,0.141,1.000,0.000,3
,11,0.299,2.828,-2.609,3
,14,0.041,0.414,0.149,10
,24,0.018,0.289,0.012,12
,29,0.013,0.248,-0.140,12
,30,0.003,0.104,-0.026,12
Prompt: a blue car aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,11.938,10.250,9.250,3
,5,0.191,1.000,0.000,3
,8,0.181,1.000,0.000,3
,11,0.250,2.281,-1.820,3
,14,0.087,0.992,0.412,6
,20,0.039,0.613,-0.091,10
,29,0.037,0.527,-0.426,10
,30,0.004,0.137,0.018,12
Prompt: a green clock aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,10.062,9.812,8.812,3
,5,0.159,1.000,0.000,3
,8,0.083,1.000,0.000,6
,14,0.088,1.555,-1.383,6
,20,0.010,0.178,-0.021,12
,29,0.008,0.134,-0.111,12
,30,0.000,0.021,-0.007,12
Prompt: a green clock aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,11.625,10.875,9.875,3
,5,0.146,1.000,0.000,3
,8,0.082,1.000,0.000,6
,14,0.083,1.562,-1.406,6
,20,0.011,0.208,0.032,12
,29,0.009,0.150,-0.125,12
,30,0.001,0.025,-0.006,12
Prompt: a purple bowl aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,5.062,10.812,9.812,3
,5,0.271,1.000,0.000,3
,8,0.121,1.000,0.000,3
,11,0.100,1.000,0.000,4
,15,0.104,1.172,-0.293,4
,19,0.086,1.039,-0.264,6
,25,0.072,0.871,-0.234,6
,29,0.076,0.805,-0.422,6
,30,0.027,0.455,0.046,12
Prompt: a purple bowl aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,3.094,6.906,5.906,3
,5,0.226,1.000,0.000,3
,8,0.194,1.000,0.000,3
,11,0.211,1.578,0.443,3
,14,0.157,1.445,-0.443,3
,17,0.113,1.211,-0.299,3
,20,0.091,1.039,-0.183,4
,24,0.102,1.086,-0.381,4
,28,0.109,0.891,-0.312,4
,29,0.035,0.578,0.000,10
,30,0.020,0.578,0.000,12
Prompt: a train accelerating to gain speed aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,3.859,5.219,4.219,3
,5,0.268,1.000,0.000,3
,8,0.160,1.000,0.000,3
,11,1.578,9.750,6.750,3
,14,0.852,4.531,1.148,3
,17,0.898,6.750,2.609,3
,20,0.715,6.188,1.562,3
,23,0.531,4.625,0.000,3
,26,0.641,5.219,-0.832,3
,29,0.801,4.875,-0.730,3
,30,0.676,6.188,1.562,3
Prompt: a train accelerating to gain speed aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,29.125,37.250,-36.250,3
,5,0.275,1.000,0.000,3
,8,0.198,1.000,0.000,3
,11,0.320,2.219,0.938,3
,14,0.996,6.219,3.797,3
,17,0.312,3.031,0.469,3
,20,0.324,3.234,0.520,3
,23,0.426,4.062,1.039,3
,26,0.527,4.531,1.148,3
,29,0.801,4.906,-2.188,3
,30,0.354,3.078,-0.520,3
Prompt: a person playing guitar aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,9.688,16.625,-15.625,3
,5,0.285,1.000,0.000,3
,8,0.113,1.000,0.000,3
,11,0.132,1.750,-1.070,3
,14,0.084,0.914,-0.338,6
,20,0.042,0.629,0.032,10
,29,0.048,0.598,-0.242,10
,30,0.012,0.355,-0.035,12
Prompt: a person playing guitar aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,4.312,7.812,6.812,3
,5,0.230,1.000,0.000,3
,8,0.142,1.000,0.000,3
,11,0.221,2.219,0.938,3
,14,0.232,1.992,0.547,3
,17,0.164,1.445,0.000,3
,20,0.136,1.445,0.000,3
,23,0.188,1.828,-0.547,3
,26,0.179,1.461,-0.260,3
,29,0.338,2.016,-1.156,3
,30,0.113,0.984,-0.183,3
Prompt: an airplane soaring through a clear blue sky aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,2.922,3.000,1.992,3
,5,0.216,1.000,0.000,3
,8,0.108,1.000,0.000,4
,12,0.141,2.141,-1.906,3
