Prompt: golden fish swimming in the ocean. aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,5,0.275,1.000,0.000,3
,8,0.153,1.000,0.000,3
,11,0.160,1.469,-0.664,3
,14,0.105,1.039,0.183,4
,18,0.084,0.953,0.068,6
,24,0.079,0.957,0.046,6
,29,0.106,1.047,-0.344,4
,30,0.061,0.703,0.000,8
Prompt: skyscraper aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,3.594,3.969,2.969,3
,5,0.256,1.000,0.000,3
,8,0.148,1.000,0.000,3
,11,0.155,1.938,-1.344,3
,14,0.058,0.645,-0.065,8
,22,0.038,0.613,-0.174,10
,29,0.030,0.439,-0.108,12
,30,0.011,0.400,0.031,12
Prompt: skyscraper aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,5.812,7.312,6.312,3
,5,0.295,1.000,0.000,3
,8,0.130,1.000,0.000,3
,11,0.215,1.938,-1.344,3
,14,0.079,0.852,-0.365,6
,20,0.043,0.594,-0.260,10
,29,0.025,0.332,-0.135,12
,30,0.008,0.273,0.034,12
Prompt: downtown aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,4.406,8.625,7.625,3
,5,0.307,1.000,0.000,3
,8,0.152,1.000,0.000,3
,11,0.177,1.469,-0.664,3
,14,0.109,1.039,0.183,4
,18,0.081,0.953,0.068,6
,24,0.064,0.883,0.000,8
,29,0.064,0.910,-0.132,8
,30,0.046,1.078,0.166,10
Prompt: downtown aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,1.000,1.898,0.898,3
,5,0.293,1.000,0.000,3
,8,0.153,1.000,0.000,3
,11,0.203,1.797,-1.133,3
,14,0.164,1.266,0.469,3
,17,0.102,0.801,0.000,4
,21,0.078,0.836,-0.059,6
,27,0.078,0.855,-0.195,6
,29,0.042,0.703,-0.104,10
,30,0.024,0.723,0.062,12
Prompt: a potted plant on the left of a remote, front view aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,2.031,4.406,3.406,3
,5,0.273,1.000,0.000,3
,8,0.194,1.000,0.000,3
,11,0.140,1.273,0.208,3
,14,0.123,1.281,-0.312,3
,17,0.101,1.172,-0.287,4
,21,0.101,1.188,0.215,4
,25,0.124,1.297,0.234,3
,28,0.146,1.062,0.000,3
,29,0.095,1.211,-0.208,4
,30,0.085,1.000,0.000,6
Prompt: a potted plant on the left of a remote, front view aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,0.562,1.000,0.000,3
,5,0.279,1.000,0.000,3
,8,0.112,1.000,0.000,3
,11,0.178,2.281,-1.820,3
,14,0.037,0.559,-0.149,10
,24,0.023,0.410,0.000,12
,29,0.020,0.402,-0.034,12
,30,0.011,0.445,0.034,12
Prompt: a fork on the right of a knife, front view aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,4.281,6.906,5.906,3
,5,0.289,1.000,0.000,3
,8,0.194,1.000,0.000,3
,11,0.295,2.109,-1.586,3
,14,0.447,2.844,1.789,3
,17,0.190,1.672,0.469,3
,20,0.128,1.367,-0.234,3
,23,0.108,1.133,0.000,4
,27,0.136,1.234,-0.176,3
,29,0.189,1.547,-0.688,3
,30,0.134,1.211,-0.508,3
Prompt: a fork on the right of a knife, front view aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,2.328,3.969,2.969,3
,5,0.285,1.000,0.000,3
,8,0.146,1.000,0.000,3
,11,0.258,1.750,-1.070,3
,14,0.094,0.781,0.078,4
,18,0.064,0.703,0.000,8
,26,0.052,0.703,0.000,8
,29,0.042,0.738,-0.181,10
,30,0.020,0.598,0.020,12
Prompt: a baseball bat on the left of a baseball glove, front view aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,4.125,5.219,4.219,3
,5,0.273,1.000,0.000,3
,8,0.132,1.000,0.000,3
,11,0.188,1.578,0.443,3
,14,0.183,1.773,0.494,3
,17,0.186,1.992,0.547,3
,20,0.127,1.445,0.000,3
,23,0.154,1.648,-0.287,3
,26,0.219,2.047,-0.988,3
,29,0.239,1.484,-0.598,3
,30,0.117,1.000,0.091,3
Prompt: a baseball bat on the left of a baseball glove, front view aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,1.281,1.898,0.898,3
,5,0.285,1.000,0.000,3
,8,0.165,1.000,0.000,3
,11,0.164,1.578,0.443,3
,14,0.129,1.445,-0.443,3
,17,0.098,1.211,-0.299,4
,21,0.081,1.109,-0.332,6
,27,0.077,0.945,-0.422,6
,29,0.031,0.578,-0.140,10
,30,0.017,0.539,0.049,12
Prompt: a microwave on the top of an oven, front view aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,3.438,6.125,5.125,3
,5,0.264,1.000,0.000,3
,8,0.124,1.000,0.000,3
,11,0.147,1.688,-0.988,3
,14,0.074,0.992,-0.416,6
,20,0.044,0.672,-0.231,10
,29,0.035,0.439,-0.264,10
,30,0.006,0.176,-0.013,12
Prompt: a microwave on the top of an oven, front view aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,5.281,9.375,8.375,3
,5,0.279,1.000,0.000,3
,8,0.173,1.000,0.000,3
,11,0.208,1.578,0.443,3
,14,0.176,1.516,-0.547,3
,17,0.115,1.109,-0.195,3
,20,0.094,0.973,-0.091,4
,24,0.146,1.516,0.449,3
,27,0.136,1.062,0.000,3
,29,0.179,1.367,0.234,3
,30,0.169,1.438,0.234,3
Prompt: a toaster on the top of a microwave, front view aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,1.867,3.031,-2.031,3
,5,0.275,1.000,0.000,3
,8,0.127,1.000,0.000,3
,11,0.163,1.938,-1.344,3
,14,0.101,1.258,0.508,4
,18,0.090,1.219,0.332,4
,22,0.085,1.008,-0.205,6
,28,0.105,1.008,-0.520,4
,29,0.034,0.586,-0.161,10
,30,0.013,0.424,-0.014,12
Prompt: a toaster on the top of a microwave, front view aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,4.438,6.906,5.906,3
,5,0.307,1.000,0.000,3
,8,0.128,1.000,0.000,3
,11,0.196,2.562,1.195,3
,14,0.131,1.734,0.287,3
,17,0.146,2.016,-0.809,3
,20,0.121,1.531,-0.469,3
,23,0.118,1.281,-0.312,3
,26,0.124,1.109,-0.195,3
,29,0.156,0.973,-0.091,3
,30,0.102,1.000,0.091,4
Prompt: a truck turning a corner aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,0.957,1.898,0.898,3
,5,0.318,1.000,0.000,3
,8,0.211,1.000,0.000,3
,11,0.305,1.875,0.676,3
,14,0.594,3.438,1.719,3
,17,0.303,2.672,0.730,3
,20,0.363,3.500,1.195,3
,23,0.426,4.125,1.406,3
,26,0.307,2.719,0.000,3
,29,0.750,4.750,1.562,3
,30,0.463,4.000,0.625,3
Prompt: a truck turning a corner aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,18.125,24.750,-23.750,3
,5,0.266,1.000,0.000,3
,8,0.142,1.000,0.000,3
,11,0.100,1.000,0.000,4
,15,0.131,1.297,-0.498,3
,18,0.169,1.664,0.664,3
,21,0.140,1.578,0.443,3
,24,0.124,1.297,-0.234,3
,27,0.145,1.211,-0.208,3
,29,0.158,1.273,-0.391,3
,30,0.107,0.945,-0.091,4
Prompt: a motorcycle cruising along a coastal highway aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,1.703,2.438,1.445,3
,5,0.283,1.000,0.000,3
,8,0.179,1.000,0.000,3
,11,0.152,1.273,-0.391,3
,14,0.166,1.391,0.391,3
,17,0.142,1.578,0.443,3
,20,0.115,1.297,-0.234,3
,23,0.098,1.062,0.000,4
,27,0.107,1.062,0.000,4
,29,0.099,1.156,-0.156,4
,30,0.098,1.219,0.156,4
Prompt: a motorcycle cruising along a coastal highway aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,0.996,1.625,-0.625,3
,5,0.318,1.000,0.000,3
,8,0.250,1.000,0.000,3
,11,0.159,2.219,0.938,3
,14,0.121,1.461,-0.260,3
,17,0.092,1.203,0.000,4
,21,0.133,1.750,0.391,3
,24,0.158,1.734,0.287,3
,27,0.174,1.445,0.000,3
,29,0.185,1.445,0.000,3
,30,0.291,2.625,0.910,3
Prompt: a bus stuck in traffic during rush hour aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,6.219,8.188,-7.188,3
,5,0.299,1.000,0.000,3
,8,0.195,1.000,0.000,3
,11,0.336,1.875,0.676,3
,14,0.342,2.625,1.094,3
,17,0.244,1.938,0.312,3
,20,0.281,2.500,0.676,3
,23,0.200,1.828,0.000,3
,26,0.215,1.828,0.000,3
,29,0.377,2.297,-0.676,3
,30,0.228,2.031,0.312,3
Prompt: a bus stuck in traffic during rush hour aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,7.219,8.188,-7.188,3
,5,0.245,1.000,0.000,3
,8,0.184,1.000,0.000,3
,11,0.781,4.562,2.750,3
,14,0.977,5.688,2.953,3
,17,0.340,2.719,0.000,3
,20,0.287,2.719,0.000,3
,23,0.354,3.406,-0.988,3
,26,0.375,3.297,-1.250,3
,29,0.500,3.031,-1.406,3
,30,0.196,1.625,0.000,3
Prompt: a car slowing down to stop aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,6.438,7.250,-6.250,3
,5,0.212,1.000,0.000,3
,8,0.148,1.000,0.000,3
,11,0.279,1.578,0.443,3
,14,0.194,1.773,0.494,3
,17,0.289,2.781,1.148,3
,20,0.451,4.531,2.234,3
,23,0.428,4.125,1.406,3
,26,0.469,4.062,1.039,3
,29,0.539,3.438,-0.574,3
,30,0.492,4.281,1.094,3
Prompt: a car slowing down to stop aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,21.750,22.875,-21.875,3
,5,0.204,1.000,0.000,3
,8,0.163,1.000,0.000,3
,11,0.176,1.273,0.208,3
,14,0.275,2.344,0.988,3
,17,0.206,2.109,0.574,3
,20,0.186,1.938,0.312,3
,23,0.179,1.844,-0.312,3
,26,0.208,1.938,0.312,3
,29,0.252,1.625,0.000,3
,30,0.346,2.969,1.039,3
Prompt: a bicycle gliding through a snowy field aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,6.812,10.375,-9.375,3
,5,0.287,1.000,0.000,3
,8,0.196,1.000,0.000,3
,11,0.271,1.750,-1.070,3
,14,0.085,0.781,-0.144,6
,20,0.059,0.750,0.072,8
,28,0.061,0.742,-0.301,8
,29,0.012,0.453,-0.071,12
,30,0.010,0.373,-0.052,12
Prompt: a bicycle gliding through a snowy field aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,5.312,7.812,6.812,3
,5,0.312,1.000,0.000,3
,8,0.152,1.000,0.000,3
,11,0.303,2.359,-1.930,3
,14,0.101,0.773,0.268,4
,18,0.078,0.832,0.234,6
,24,0.071,0.816,0.137,6
,29,0.088,0.875,-0.494,6
,30,0.024,0.432,-0.124,12
Prompt: in a still frame, gas station aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,5.188,7.906,6.906,3
,5,0.289,1.000,0.000,3
,8,0.183,1.000,0.000,3
,11,0.287,1.469,-0.664,3
,14,0.089,0.855,-0.078,6
,20,0.064,0.871,-0.234,8
,28,0.059,0.727,-0.438,8
,29,0.008,0.301,-0.072,12
,30,0.006,0.226,-0.020,12
Prompt: in a still frame, gas station aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,7.656,9.000,7.969,3
,5,0.215,1.000,0.000,3
,8,0.133,1.000,0.000,3
,11,0.235,1.688,-0.988,3
,14,0.153,0.906,0.156,3
,17,0.101,0.969,0.169,4
,21,0.078,0.875,-0.127,6
,27,0.084,0.945,-0.492,6
,29,0.033,0.543,-0.224,10
,30,0.011,0.320,-0.043,12
Prompt: in a still frame, within the desolate desert, an oasis unfolded, characterized by the stoic presence of palm trees and a motionless, glassy pool of water aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,4.219,8.250,7.219,3
,5,0.235,1.000,0.000,3
,8,0.127,1.000,0.000,3
,11,0.214,1.469,-0.664,3
,14,0.078,0.801,0.000,6
,20,0.068,0.883,-0.202,8
,28,0.065,0.781,-0.504,8
,29,0.008,0.287,-0.049,12
,30,0.006,0.236,-0.007,12
Prompt: in a still frame, within the desolate desert, an oasis unfolded, characterized by the stoic presence of palm trees and a motionless, glassy pool of water aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,4.625,8.688,7.688,3
,5,0.287,1.000,0.000,3
,8,0.107,1.000,0.000,4
,12,0.106,1.297,-0.498,4
,16,0.058,0.836,-0.059,8
,24,0.052,0.812,-0.176,8
,29,0.050,0.688,-0.246,10
,30,0.014,0.439,0.000,12
Prompt: a tranquil tableau of palace aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,3.312,6.625,5.625,3
,5,0.245,1.000,0.000,3
,8,0.222,1.000,0.000,3
,11,0.239,1.469,-0.664,3
,14,0.135,1.156,0.273,3
,17,0.096,0.945,-0.091,4
,21,0.080,0.855,0.000,6
,27,0.090,0.906,-0.130,4
,29,0.092,0.953,-0.293,4
,30,0.064,0.727,0.049,8
Prompt: a tranquil tableau of palace aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,2.031,4.188,3.203,3
,5,0.268,1.000,0.000,3
,8,0.191,1.000,0.000,3
,11,0.151,1.211,-0.299,3
,14,0.125,1.039,-0.183,3
,17,0.099,0.973,0.091,4
,21,0.098,1.039,-0.264,4
,25,0.095,0.922,-0.244,4
,29,0.137,0.969,-0.479,3
,30,0.065,0.555,0.052,8
Prompt: a tranquil tableau of bar aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,2.828,5.969,4.969,3
,5,0.287,1.000,0.000,3
,8,0.132,1.000,0.000,3
,11,0.138,1.750,-1.070,3
,14,0.048,0.781,-0.144,10
,24,0.036,0.637,-0.213,10
,29,0.025,0.426,-0.262,12
,30,0.004,0.162,-0.006,12
Prompt: a tranquil tableau of bar aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,5.156,9.438,8.438,3
,5,0.262,1.000,0.000,3
,8,0.169,1.000,0.000,3
,11,0.157,1.273,-0.391,3
,14,0.093,1.000,0.091,4
,18,0.088,1.078,-0.273,6
,24,0.073,0.945,0.091,6
,29,0.096,0.984,-0.326,4
,30,0.082,0.977,0.225,6
Prompt: a tranquil tableau of a peaceful orchid garden showcased a variety of delicate blooms aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,2.250,3.500,2.500,3
,5,0.307,1.000,0.000,3
,8,0.136,1.000,0.000,3
,11,0.344,1.875,0.676,3
,14,0.185,1.203,0.000,3
,17,0.194,1.539,0.260,3
,20,0.145,1.281,0.000,3
,23,0.162,1.461,-0.260,3
,26,0.162,1.367,-0.234,3
,29,0.219,1.445,-0.443,3
,30,0.104,1.000,0.000,4
Prompt: a tranquil tableau of a peaceful orchid garden showcased a variety of delicate blooms aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,0.691,1.000,0.000,3
,5,0.249,1.000,0.000,3
,8,0.165,1.000,0.000,3
,11,0.163,1.000,0.000,3
,14,0.186,1.273,-0.391,3
,17,0.122,1.125,-0.352,3
,20,0.084,0.840,-0.091,6
,26,0.071,0.809,-0.149,6
,29,0.060,0.773,-0.287,8
,30,0.022,0.523,0.020,12
Prompt: gwen stacy reading a book, with an intense shaking effect aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,5.281,5.969,4.969,3
,5,0.224,1.000,0.000,3
,8,0.147,1.000,0.000,3
,11,0.340,2.219,0.938,3
,14,0.201,1.281,0.000,3
,17,0.262,1.992,0.547,3
,20,0.177,1.445,0.000,3
,23,0.250,2.219,0.598,3
,26,0.196,1.625,0.000,3
,29,0.326,2.047,-0.598,3
,30,0.161,1.445,0.000,3
Prompt: gwen stacy reading a book, with an intense shaking effect aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,5.000,5.438,-4.438,3
,5,0.208,1.000,0.000,3
,8,0.152,1.000,0.000,3
,11,0.176,1.000,0.000,3
,14,0.660,3.703,2.078,3
,17,0.231,2.031,0.312,3
,20,0.234,2.156,-0.625,3
,23,0.189,1.734,-0.287,3
,26,0.188,1.648,-0.287,3
,29,0.320,2.047,-0.988,3
,30,0.155,1.422,-0.508,3
Prompt: the bund shanghai, with an intense shaking effect aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,1.312,1.898,0.898,3
,5,0.211,1.000,0.000,3
,8,0.128,1.000,0.000,3
,11,0.320,2.562,1.195,3
,14,0.231,1.539,-0.260,3
,17,0.221,1.625,-0.494,3
,20,0.128,1.133,0.000,3
,23,0.156,1.445,-0.443,3
,26,0.170,1.516,-0.738,3
,29,0.221,1.414,-0.910,3
,30,0.091,0.789,-0.404,4
Prompt: the bund shanghai, with an intense shaking effect aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,5.531,7.188,6.188,3
,5,0.228,1.000,0.000,3
,8,0.172,1.000,0.000,3
,11,0.205,1.578,-0.832,3
,14,0.104,0.867,0.091,4
,18,0.068,0.820,-0.068,8
,26,0.059,0.812,-0.309,8
,29,0.031,0.559,-0.271,10
,30,0.010,0.287,-0.082,12
Prompt: a couple in formal evening wear going home get caught in a heavy downpour with umbrellas, in super slow motion aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,5.344,9.000,7.969,3
,5,0.260,1.000,0.000,3
,8,0.210,1.000,0.000,3
,11,0.188,1.336,-0.482,3
,14,0.112,0.973,0.091,3
,17,0.084,0.883,0.000,6
,23,0.092,1.195,0.195,4
,27,0.189,1.711,0.508,3
,29,0.293,2.250,0.809,3
,30,0.301,2.625,0.910,3
Prompt: a couple in formal evening wear going home get caught in a heavy downpour with umbrellas, in super slow motion aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,3.609,8.188,-7.188,3
,5,0.289,1.000,0.000,3
,8,0.198,1.000,0.000,3
,11,0.260,1.578,0.443,3
,14,0.203,1.773,0.494,3
,17,0.151,1.461,-0.260,3
,20,0.120,1.203,0.000,3
,23,0.123,1.203,0.000,3
,26,0.178,1.539,0.260,3
,29,0.206,1.281,0.000,3
,30,0.273,2.359,0.832,3
Prompt: a shark is swimming in the ocean, zoom out aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,7.094,6.312,-5.312,3
,5,0.252,1.000,0.000,3
,8,0.101,1.000,0.000,4
,12,0.155,1.969,-1.609,3
,15,0.050,0.719,0.279,10
,25,0.050,0.836,0.197,8
,29,0.044,0.672,-0.166,10
,30,0.018,0.504,-0.080,12
Prompt: a shark is swimming in the ocean, zoom out aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,8.125,6.781,5.781,3
,5,0.223,1.000,0.000,3
,8,0.086,1.000,0.000,6
,14,0.082,1.422,-1.055,6
,20,0.043,0.727,0.224,10
,29,0.036,0.504,-0.172,10
,30,0.011,0.332,-0.012,12
Prompt: the bund shanghai, racking focus aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,3.438,7.812,6.812,3
,5,0.273,1.000,0.000,3
,8,0.131,1.000,0.000,3
,11,0.209,2.219,0.938,3
,14,0.121,1.281,0.000,3
,17,0.129,1.461,-0.260,3
,20,0.136,1.531,-0.469,3
,23,0.125,1.281,-0.312,3
,26,0.160,1.414,-0.637,3
,29,0.249,1.562,-1.125,3
,30,0.051,0.439,0.000,8
Prompt: the bund shanghai, racking focus aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,3.516,6.625,5.625,3
,5,0.256,1.000,0.000,3
,8,0.135,1.000,0.000,3
,11,0.135,1.578,-0.832,3
,14,0.074,1.016,-0.377,6
,20,0.043,0.711,-0.188,10
,29,0.040,0.523,-0.379,10
,30,0.005,0.145,-0.044,12
