Prompt: a lightning striking atop of eiffel tower, dark clouds in the sky aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
Prompt: vincent van gogh is painting in the room aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,1.172,1.898, 0.898, 3
5,0.234,1.000, 0.000, 3
8,0.134,1.000, 0.000, 3
11,0.185,1.578, 0.443, 3
14,0.103,1.297, -0.234, 4
18,0.088,1.328, -0.449, 6
24,0.076,1.070, -0.475, 6
29,0.083,0.816, -0.551, 6
30,0.015,0.283, -0.046, 12
Prompt: a dog enjoying a peaceful walk aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,5.094,8.625, 7.625, 3
5,0.291,1.000, 0.000, 3
8,0.161,1.000, 0.000, 3
11,0.168,1.273, 0.208, 3
14,0.131,1.211, -0.208, 3
17,0.103,1.273, -0.391, 4
21,0.073,0.922, -0.068, 6
27,0.079,0.906, -0.130, 6
29,0.058,0.984, 0.130, 8
30,0.040,0.977, 0.068, 10
Prompt: a dog enjoying a peaceful walk aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,1.086,1.898, 0.898, 3
5,0.283,1.000, 0.000, 3
8,0.169,1.000, 0.000, 3
11,0.203,1.797, -1.133, 3
14,0.076,0.746, 0.065, 6
20,0.091,1.148, 0.293, 4
24,0.094,0.953, 0.068, 4
28,0.137,1.156, -0.449, 3
29,0.067,0.906, 0.156, 8
30,0.044,1.047, 0.166, 10
Prompt: a toilet, frozen in time aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,1.711,2.172, 1.172, 3
5,0.234,1.000, 0.000, 3
8,0.149,1.000, 0.000, 3
11,0.239,2.312, -1.875, 3
14,0.045,0.508, -0.098, 10
24,0.024,0.410, -0.041, 12
29,0.016,0.340, -0.149, 12
30,0.005,0.186, -0.017, 12
Prompt: a toilet, frozen in time aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,7.281,9.312, 8.312, 3
5,0.191,1.000, 0.000, 3
8,0.181,1.000, 0.000, 3
11,0.287,2.719, -2.453, 3
14,0.030,0.316, 0.039, 10
24,0.030,0.461, 0.092, 12
29,0.016,0.336, -0.172, 12
